task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	env	workdir	scratch	error_action	hardware_type	revision	threads	clusmethod	corrmethod	preout	postout	bsize	gsize	lsize	np	dataset	trial	n_rows	n_cols
419	c3/71ba9c	625508.pbs02	run_experiment		run_experiment (419)	COMPLETED	0		systemsgenetics/kinc:3.3.0	1	86400000			1	1602394808763	1602394815836	1602394821574	12811	4745		110.0	0.2	703488000.0	30744961024.0	703627264.0	30809964544.0	16831523.0	6431346.0	13234.0	155631.0	462754.0	3976063.0	3490.0	34.0	PATH=/home/btsheal/workspace/tesseract/kinc/bin:/home/btsheal/software/nextflow/20.07.1:/home/btsheal/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/pbs/default/bin:/home/btsheal/workspace/tesseract/bin	/scratch1/btsheal/work/c3/71ba9c62a1092f9bb5d8b31548fd8c			v100	v3.4.2	2	gmm	spearman	True	True	32768	4096	32	8	Yeast.002	0	1411	37
150	47/438979	620748.pbs02	run_experiment		run_experiment (150)	COMPLETED	0		systemsgenetics/kinc:3.3.0	1	86400000			1	1602295811355	1602394840709	1602394925746	99114391	83377		307.4	0.2	802336768.0	30835433472.0	802336768.0	30902530048.0	22239040.0	293724873.0	13862.0	4996128.0	7634859.0	291022073.0	7339.0	511.0	PATH=/home/btsheal/workspace/tesseract/kinc/bin:/home/btsheal/software/nextflow/20.07.1:/home/btsheal/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/pbs/default/bin:/home/btsheal/workspace/tesseract/bin	/scratch1/btsheal/work/47/438979644504adfc302be271e779fa			v100	v3.4.2	2	gmm	spearman	True	True	32768	4096	32	16	Yeast.010	0	7051	188
160	4a/db8973	621130.pbs02	run_experiment		run_experiment (160)	COMPLETED	0		systemsgenetics/kinc:3.3.0	1	86400000			1	1602297071417	1602394930744	1602395205806	98134389	276779		202.4	0.4	558542848.0	34936107008.0	574337024.0	35070156800.0	21403187.0	293603375.0	10908.0	4995067.0	28587.0	290993401.0	28344.0	5464.0	PATH=/home/btsheal/workspace/tesseract/kinc/bin:/home/btsheal/software/nextflow/20.07.1:/home/btsheal/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/pbs/default/bin:/home/btsheal/workspace/tesseract/bin	/scratch1/btsheal/work/4a/db89730bc36101fa1e9e23d12cdf02			p100	v3.4.2	2	gmm	spearman	True	True	32768	4096	32	16	Yeast.010	1	7051	188
348	8a/ddce6e	625426.pbs02	run_experiment		run_experiment (348)	COMPLETED	0		systemsgenetics/kinc:3.3.0	1	86400000			1	1602392818365	1602392825593	1602395310880	2492515	2485526		395.7	0.0	319377408.0	5201723392.0	319762432.0	5269311488.0	19706424.0	24772853.0	12171.0	630220.0	8106.0	19198683.0	286111.0	7655.0	PATH=/home/btsheal/workspace/tesseract/kinc/bin:/home/btsheal/software/nextflow/20.07.1:/home/btsheal/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/pbs/default/bin:/home/btsheal/workspace/tesseract/bin	/scratch1/btsheal/work/8a/ddce6eb0e7f79d69791dbb36687b90			cpu	v3.4.2	2	gmm	spearman	True	True	32768	4096	32	4	Yeast.004	2	2821	75
165	39/238c54	621168.pbs02	run_experiment		run_experiment (165)	COMPLETED	0		systemsgenetics/kinc:3.3.0	1	86400000			1	1602297766408	1602395230803	1602395315809	97549401	84035		312.4	0.2	800845824.0	30903296000.0	800845824.0	31037583360.0	22239066.0	293726195.0	13869.0	4996171.0	4018091.0	291022073.0	7479.0	615.0	PATH=/home/btsheal/workspace/tesseract/kinc/bin:/home/btsheal/software/nextflow/20.07.1:/home/btsheal/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/pbs/default/bin:/home/btsheal/workspace/tesseract/bin	/scratch1/btsheal/work/39/238c549b785f4dca8f806c66376a0f			v100	v3.4.2	2	gmm	spearman	True	True	32768	4096	32	16	Yeast.010	1	7051	188
428	20/3f1a7c	625524.pbs02	run_experiment		run_experiment (428)	COMPLETED	0		systemsgenetics/kinc:3.3.0	1	86400000			1	1602395318621	1602395440924	1602395450935	132314	10944		157.2	0.3	465100800.0	34747449344.0	487845888.0	34954055680.0	15986483.0	6205857.0	10186.0	154962.0	303010.0	3947391.0	1438.0	259.0	PATH=/home/btsheal/workspace/tesseract/kinc/bin:/home/btsheal/software/nextflow/20.07.1:/home/btsheal/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/pbs/default/bin:/home/btsheal/workspace/tesseract/bin	/scratch1/btsheal/work/20/3f1a7ca17c11f4e8f4bfc87d9fe050			p100	v3.4.2	2	gmm	spearman	True	True	32768	4096	32	2	Yeast.002	1	1411	37
258	a7/d5b780	623385.pbs02	run_experiment		run_experiment (258)	COMPLETED	0		systemsgenetics/kinc:3.3.0	1	86400000			1	1602362905860	1602362912104	1602395565887	32660027	32656453		298.6	0.3	500457472.0	4799414272.0	501317632.0	4986392576.0	29586242.0	208830825.0	12250.0	3807630.0	466858.0	204327608.0	1817541.0	72931.0	PATH=/home/btsheal/workspace/tesseract/kinc/bin:/home/btsheal/software/nextflow/20.07.1:/home/btsheal/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/pbs/default/bin:/home/btsheal/workspace/tesseract/bin	/scratch1/btsheal/work/a7/d5b780e66dd42de5cc342925885cf2			cpu	v3.4.2	2	gmm	spearman	True	True	32768	4096	32	4	Yeast.009	2	6346	169
151	c9/36302e	620841.pbs02	run_experiment		run_experiment (151)	FAILED	143		systemsgenetics/kinc:3.3.0	1	86400000			1	1602296386268	1602309160900	1602395580845	99194577	86419945																PATH=/home/btsheal/workspace/tesseract/kinc/bin:/home/btsheal/software/nextflow/20.07.1:/home/btsheal/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/pbs/default/bin:/home/btsheal/workspace/tesseract/bin	/scratch1/btsheal/work/c9/36302ef82ea5951854864ef849e58f		IGNORE	cpu	v3.4.2	2	gmm	spearman	True	True	32768	4096	32	1	Yeast.010	1	7051	188
175	c8/c9b824	621224.pbs02	run_experiment		run_experiment (175)	COMPLETED	0		systemsgenetics/kinc:3.3.0	1	86400000			1	1602298731596	1602395320811	1602395595850	96864254	275003		205.6	0.4	556199936.0	34932838400.0	573202432.0	35066884096.0	21403017.0	293601990.0	10908.0	4995006.0	32683.0	291001593.0	10566.0	4643.0	PATH=/home/btsheal/workspace/tesseract/kinc/bin:/home/btsheal/software/nextflow/20.07.1:/home/btsheal/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/pbs/default/bin:/home/btsheal/workspace/tesseract/bin	/scratch1/btsheal/work/c8/c9b8242ef6b6e1d3a7a62c4d3f5ed6			p100	v3.4.2	2	gmm	spearman	True	True	32768	4096	32	16	Yeast.010	2	7051	188
432	57/555a12	625534.pbs02	run_experiment		run_experiment (432)	COMPLETED	0		systemsgenetics/kinc:3.3.0	1	86400000			1	1602395583832	1602395590966	1602395595981	12149	4977		100.5	0.2	698810368.0	30735978496.0	698892288.0	30796001280.0	16820986.0	6327676.0	13163.0	155506.0	32674.0	3984255.0	4717.0	43.0	PATH=/home/btsheal/workspace/tesseract/kinc/bin:/home/btsheal/software/nextflow/20.07.1:/home/btsheal/bin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/opt/pbs/default/bin:/home/btsheal/workspace/tesseract/bin	/scratch1/btsheal/work/57/555a1251f2a91fbd9b46280f376635			v100	v3.4.2	2	gmm	spearman	True	True	32768	4096	32	4	Yeast.002	1	1411	37
