task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	fastq_lines	sample_id
2023	3392422.pbs02	fastqc_1	ERX204404	fastqc_1 (ERX204404)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629991523600	1629991530591	1629992425404	901804	894525		57.3	0.5	169009152.0	2739617792.0	169881600.0	2771034112.0	70202696244.0	23397579762.0	4334557.0	50764.0	46824829168.0	2579427.0	2449017.0	113.0	/scratch1/btsheal/work/a5/857acc80e253fa915c02c8445cb681			371613468	ERX204404
5208	3396706.pbs02	fastqc_1	SRX2436390	fastqc_1 (SRX2436390)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630003665379	1630003676152	1630003874520	209141	195908		62.7	0.5	178864128.0	2741329920.0	178864128.0	2741346304.0	13488514242.0	4492974685.0	836858.0	14813.0	9015256311.0	2317543.0	420020.0	109.0	/scratch1/btsheal/work/a5/c6622ffa5f3035c1c0773b3753ec1c			50939256	SRX2436390
5309	3396820.pbs02	fastqc_1	SRX1506471	fastqc_1 (SRX1506471)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630004052767	1630004062465	1630004118435	65668	47454		43.4	0.5	162873344.0	2739617792.0	162873344.0	2771034112.0	1751284362.0	580303153.0	112960.0	7044.0	1190610355.0	2048349.0	58746.0	121.0	/scratch1/btsheal/work/a6/4e006984fb0e4aac0747b9da1a595b			9797068	SRX1506471
2568	3392980.pbs02	fastqc_1	SRX2248589	fastqc_1 (SRX2248589)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629993658320	1629993669766	1629993923733	265413	252872		55.5	0.6	205955072.0	2743812096.0	206049280.0	2771034112.0	15175978419.0	5055324936.0	940860.0	15471.0	10140235691.0	2181304.0	574298.0	107.0	/scratch1/btsheal/work/a7/58a260bca5ddc0cd79ce1c154d08b6			72015412	SRX2248589
5756	3397293.pbs02	fastqc_1	SRX1651397	fastqc_1 (SRX1651397)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630005787496	1630005803722	1630006780573	993077	970607		34.8	0.5	166633472.0	2663354368.0	166633472.0	2728382464.0	35482110932.0	11824390636.0	2193544.0	29229.0	23677536115.0	2852362.0	1349110.0	336.0	/scratch1/btsheal/work/a8/38888c1c255810b55a99980f17c969			115498176	SRX1651397
5016	3396483.pbs02	fastqc_1	SRX823931	fastqc_1 (SRX823931)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630002862489	1630002873668	1630003561064	698575	683070		32.3	0.8	261640192.0	2743812096.0	261640192.0	2771034112.0	22200156702.0	7398567119.0	1376794.0	26518.0	14822316284.0	4718526.0	837479.0	152.0	/scratch1/btsheal/work/a8/3c6249bf1bf4bd71fd104b9286b305			65917808	SRX823931
9048	3402233.pbs02	fastqc_1	SRX2512390	fastqc_1 (SRX2512390)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630018283733	1630018291353	1630018824760	541027	529377		37.9	0.7	233127936.0	2743812096.0	233127936.0	2771034112.0	19330192937.0	6441482444.0	1199319.0	23542.0	12909135977.0	4164170.0	727878.0	108.0	/scratch1/btsheal/work/a8/4ead548dd9210af50598aed1a4760a			67860312	SRX2512390
5046	3396518.pbs02	fastqc_1	SRX2519529	fastqc_1 (SRX2519529)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630002982429	1630002989935	1630003370155	387726	377390		68.0	0.7	229437440.0	2743812096.0	229437440.0	2798641152.0	24690912669.0	8228812324.0	1530418.0	28081.0	16482809009.0	4606728.0	808061.0	129.0	/scratch1/btsheal/work/a8/93a92e3482b3f74d89c9875013dfa3			98418992	SRX2519529
5347	3396861.pbs02	fastqc_1	SRX2234112	fastqc_1 (SRX2234112)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630004207423	1630004216962	1630005046329	838906	828018		62.0	0.8	254746624.0	2743812096.0	254746624.0	2771034112.0	56815532637.0	18936695360.0	3511217.0	48083.0	37899359369.0	4414156.0	1936235.0	107.0	/scratch1/btsheal/work/a8/c9a48092752ac72af171c61d69444e			170590672	SRX2234112
1112	3390943.pbs02	fastqc_1	DRX111930	fastqc_1 (DRX111930)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629988141528	1629988152970	1629988313472	171944	161139		53.5	0.5	174444544.0	2739617792.0	174444544.0	2771034112.0	8571711926.0	2854053331.0	533729.0	11450.0	5737336364.0	2327308.0	270138.0	108.0	/scratch1/btsheal/work/a8/d4813ec9f7b8091182d949494ac566			51044372	DRX111930
8584	3401790.pbs02	fastqc_1	SRX2871318	fastqc_1 (SRX2871318)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630016489275	1630016492939	1630016851407	362132	343849		36.5	0.5	172654592.0	2739617792.0	173682688.0	2771034112.0	13673121936.0	4554302880.0	848077.0	14406.0	9138366235.0	2130528.0	554280.0	116.0	/scratch1/btsheal/work/a9/1bfdbe2f8b339ef3e0dd1b064aac42			100484180	SRX2871318
7299	3399223.pbs02	fastqc_1	SRX1734798	fastqc_1 (SRX1734798)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630011635337	1630011652309	1630012529615	894278	868682		22.0	0.5	168472576.0	2733613056.0	168472576.0	2733629440.0	22188879857.0	7393154726.0	1373486.0	20513.0	14815472971.0	2602604.0	734172.0	108.0	/scratch1/btsheal/work/a9/cf022c299a3d621c27154f6535ca5b			86720648	SRX1734798
4486	3395444.pbs02	fastqc_1	SRX1082009	fastqc_1 (SRX1082009)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630000931843	1630000937331	1630003380117	2448274	2437578		64.4	0.6	197345280.0	2739617792.0	197345280.0	2771034112.0	168105199994.0	56031867230.0	10372230.0	113117.0	112093040855.0	3226635.0	7024918.0	110.0	/scratch1/btsheal/work/aa/2b7a3cd5d0abc38dc4f0b040ffe01a			644732388	SRX1082009
