task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	sample_id	sra_bytes
6766	3398522.pbs02	fastq_dump	SRX4171115	fastq_dump (SRX4171115)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630009617423	1630009629605	1630009660061	42638	25962		31.9	0.2	59609088.0	108154880.0	59621376.0	108183552.0	45469082.0	307088713.0	1386.0	2461.0	60138107.0	307086392.0	28824.0	224.0	/scratch1/btsheal/work/97/4c997e0fc87d5e589f2cc5c4d3637f			SRX4171115	42936803
3786	3394664.pbs02	fastq_dump	ERX204386	fastq_dump (ERX204386)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629998284245	1629998293283	1629999226809	942564	927385		52.1	0.2	74637312.0	191614976.0	74637312.0	249839616.0	3258974027.0	20012093534.0	13326.0	152799.0	3273643057.0	20012091212.0	1154178.0	39437.0	/scratch1/btsheal/work/97/90566960222359cca5a600da81fe26			ERX204386	3.2565e+09
9335	3402507.pbs02	fastq_dump	SRX3464790	fastq_dump (SRX3464790)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630019358249	1630019369325	1630019474238	115989	102040		51.2	0.1	43917312.0	161382400.0	43950080.0	228294656.0	177657778.0	1294518277.0	11759.0	9996.0	192326751.0	1294515866.0	102814.0	4935.0	/scratch1/btsheal/work/97/90d78e3b8dd07359ec7deb9addc630			SRX3464790	175183284
933	3390734.pbs02	fastq_dump	ERX1268159	fastq_dump (ERX1268159)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629987364013	1629987392976	1629987562600	198587	166681		69.1	0.2	65978368.0	182796288.0	65978368.0	244273152.0	689833974.0	4994942812.0	4276.0	38227.0	704503002.0	4994940486.0	313377.0	1772.0	/scratch1/btsheal/work/97/db023022986b0520a1c156c4ffcdb1			ERX1268159	687312916
8278	3400982.pbs02	fastq_dump	SRX2007110	fastq_dump (SRX2007110)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630015336535	1630015346303	1630016149215	812680	802865		55.0	0.2	72019968.0	189054976.0	72761344.0	248852480.0	3886674072.0	34633864704.0	28275.0	264456.0	3899728662.0	34633860330.0	968439.0	1613.0	/scratch1/btsheal/work/98/5759c109da7078916998a4b4242aa6			SRX2007110	3.88265e+09
6849	3398610.pbs02	fastq_dump	SRX2327321	fastq_dump (SRX2327321)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630009928956	1630009939169	1630010462951	533995	515519		44.8	0.1	44912640.0	162398208.0	44978176.0	228818944.0	1592078332.0	9755203451.0	74830.0	74546.0	1606747284.0	9755201030.0	707808.0	1344.0	/scratch1/btsheal/work/99/1e69de3b688076593097a43932f15d			SRX2327321	1589856078
5942	3397563.pbs02	fastq_dump	SRX1036697	fastq_dump (SRX1036697)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630006517121	1630006534968	1630007502023	984902	961919		33.0	0.2	64077824.0	181551104.0	64458752.0	244137984.0	4197086195.0	22135376029.0	20596.0	168998.0	4211755220.0	22135373698.0	1312816.0	11948.0	/scratch1/btsheal/work/99/3590575caed3cc4c258789c59d9cce			SRX1036697	4.19463e+09
8545	3401754.pbs02	fastq_dump	SRX1734982	fastq_dump (SRX1734982)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630016358281	1630016370452	1630016697623	339342	330089		66.9	0.2	69156864.0	186699776.0	69156864.0	244920320.0	2048328456.0	9892049244.0	19206.0	76594.0	2046853375.0	9892026604.0	90243.0	637.0	/scratch1/btsheal/work/9a/5af79580e09c64a60edce4d081adee			SRX1734982	2029819338
6667	3398426.pbs02	fastq_dump	SRX2026159	fastq_dump (SRX2026159)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630009256946	1630009268466	1630009924055	667109	650626		45.0	0.2	64016384.0	181374976.0	65044480.0	244596736.0	2742983720.0	14851846023.0	14131.0	113429.0	2757652732.0	14851843690.0	821852.0	3876.0	/scratch1/btsheal/work/9a/71fc0e1191c01f9e83fbc890b1c593			SRX2026159	2.7405e+09
3605	3393964.pbs02	fastq_dump	SRX2884703	fastq_dump (SRX2884703)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629997565938	1629997585254	1629998064256	498318	471238		31.2	0.2	72994816.0	190472192.0	72998912.0	252682240.0	2141992031.0	10517643883.0	8351.0	80362.0	2156661047.0	10517641550.0	573360.0	3634.0	/scratch1/btsheal/work/9a/a281851e1db2a2fdfed1d64059a69b			SRX2884703	2139488998
