task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	fastq_lines	sample_id
4972	3396444.pbs02	fastq_merge	SRX3179629	fastq_merge (SRX3179629)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630002722419	1630002736201	1630003141388	418969	403511		6.4	0.0	8900608.0	20082688.0	8900608.0	20099072.0	15054574852.0	10036317640.0	325667.0	19171.0	10036777079.0	5018158530.0	532482.0	9.0	/scratch1/btsheal/work/94/8803f2c70e65867cb0ce8b76b666d7			87716904	SRX3179629
2790	3393193.pbs02	fastq_merge	SRX264521	fastq_merge (SRX264521)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629994452359	1629994465929	1629994485952	33593	16384		8.3	0.0	8843264.0	20078592.0	8843264.0	20094976.0	796802881.0	531138026.0	17448.0	1039.0	531597536.0	265568760.0	29282.0	22.0	/scratch1/btsheal/work/94/885a366a48b517b61eec5294c50dc5			5890808	SRX264521
4958	3396428.pbs02	fastq_merge	ERX438718	fastq_merge (ERX438718)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630002672431	1630002675539	1630003940076	1267645	1252349		9.6	0.0	8687616.0	20082688.0	8687616.0	20099072.0	67093954601.0	44729237474.0	1450580.0	85341.0	44729696920.0	22364618452.0	2487793.0	28.0	/scratch1/btsheal/work/94/f9709aa8c11d8374f5251d0330e025			253932776	ERX438718
8007	3400214.pbs02	fastq_merge	SRX2656555	fastq_merge (SRX2656555)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630014325833	1630014342390	1630015416783	1090950	1063729		6.6	0.0	8802304.0	20082688.0	8802304.0	20099072.0	29199409677.0	19466207526.0	631430.0	37157.0	19466666963.0	9733103472.0	946745.0	19.0	/scratch1/btsheal/work/94/fd10e82c4ebcbde3ee94076db4b0e3			116374520	SRX2656555
4698	3395642.pbs02	fastq_merge	SRX1973018	fastq_merge (SRX1973018)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630001733003	1630001741002	1630001792558	59555	48794		16.8	0.0	8847360.0	20078592.0	8847360.0	20094976.0	4837906690.0	3225207237.0	104802.0	6177.0	3225666739.0	1612603360.0	233697.0	2.0	/scratch1/btsheal/work/95/055fe033455d065547c4db4ee74a71			29227224	SRX1973018
1929	3391816.pbs02	fastq_merge	SRX1067578	fastq_merge (SRX1067578)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629991157346	1629991172742	1629991786630	629284	605881		14.4	0.0	8581120.0	20078592.0	8581120.0	20094976.0	32847672782.0	21898384718.0	710278.0	41793.0	21898844231.0	10949192106.0	1389000.0	137.0	/scratch1/btsheal/work/95/0d141804654da51d3e9429b01fa2e1			177699944	SRX1067578
6805	3398562.pbs02	fastq_merge	SRX4170255	fastq_merge (SRX4170255)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630009754278	1630009765103	1630009775045	20767	6704		15.9	0.0	8716288.0	20078592.0	8716288.0	20094976.0	534417841.0	356214667.0	11775.0	705.0	356678263.0	178107074.0	16673.0	1.0	/scratch1/btsheal/work/95/1a6dd338a765ca6f18984aa364f827			2864820	SRX4170255
7923	3400137.pbs02	fastq_merge	SRX1247592	fastq_merge (SRX1247592)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630014025307	1630014041961	1630014571344	546037	520917		8.5	0.0	8577024.0	20078592.0	8577024.0	20094976.0	29331277208.0	19554120907.0	634267.0	37323.0	19554580403.0	9777060192.0	1176173.0	23.0	/scratch1/btsheal/work/95/1c00235fc18b8a45ed442aefa8339e			113626732	SRX1247592
1266	3391093.pbs02	fastq_merge	DRX064474	fastq_merge (DRX064474)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629988716844	1629988732422	1629989579961	863117	843083		9.5	0.0	8855552.0	20082688.0	8855552.0	20099072.0	34156968406.0	22771246677.0	738596.0	43461.0	22771706128.0	11385623056.0	1167794.0	21.0	/scratch1/btsheal/work/96/2ad22c3bbf090977f0053045592b1d			149922552	DRX064474
8348	3401575.pbs02	fastq_merge	SRX2568337	fastq_merge (SRX2568337)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630015615152	1630015623690	1630015815146	199994	185804		20.8	0.0	8503296.0	20082688.0	8503296.0	20099072.0	17996832205.0	11997822553.0	389270.0	22913.0	11998281995.0	5998910988.0	620262.0	3.0	/scratch1/btsheal/work/96/9fe0753208b4e81895eba0a04a9fc6			72821816	SRX2568337
