task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
5785	1437702	read_sample_file	SRX3452648.sample.csv	read_sample_file (SRX3452648.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630005746753	1630005746793	1630005773590	26837	27		30.0	0.0	0.0	0.0	0.0	0.0	55005.0	270.0	124.0	13.0	301206.0	0.0	0.0	0.0	/scratch1/btsheal/work/f3/91d95b7d3ec961adb0fc3d5f640b9d		
8759	1513074	read_sample_file	SRX1604116.sample.csv	read_sample_file (SRX1604116.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630017006789	1630017006872	1630017028320	21531	5287		1.1	0.0	540672.0	5894144.0	540672.0	5894144.0	54994.0	258.0	124.0	13.0	301195.0	0.0	1.0	0.0	/scratch1/btsheal/work/f3/b61389a79cbcd32e348a39dd65124f		
5631	1433832	read_sample_file	SRX1404317.sample.csv	read_sample_file (SRX1404317.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630005172985	1630005173069	1630005175254	2269	28		12.0	0.0	0.0	0.0	0.0	0.0	54994.0	259.0	124.0	13.0	301195.0	0.0	0.0	0.0	/scratch1/btsheal/work/f4/bb8419eedfeb572657110ebc58ed42		
3134	1371246	read_sample_file	SRX384025.sample.csv	read_sample_file (SRX384025.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629995666147	1629995666227	1629995677827	11680	31		47.6	0.0	0.0	0.0	0.0	0.0	55025.0	292.0	124.0	13.0	301225.0	0.0	0.0	0.0	/scratch1/btsheal/work/f5/5a8546779b3072edbe7e431b559e93		
6939	1467570	read_sample_file	SRX1705006.sample.csv	read_sample_file (SRX1705006.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630010157297	1630010157381	1630010163596	6299	41		37.5	0.0	0.0	0.0	0.0	0.0	54996.0	260.0	124.0	13.0	301195.0	0.0	0.0	0.0	/scratch1/btsheal/work/f6/32cc86bbf6f6ff64a83c43185d84e6		
6012	1443468	read_sample_file	SRX2567375.sample.csv	read_sample_file (SRX2567375.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630006665199	1630006670547	1630006687559	22360	47		24.2	0.0	0.0	0.0	0.0	0.0	55071.0	336.0	124.0	13.0	301272.0	0.0	0.0	0.0	/scratch1/btsheal/work/f6/5a0d0bbebb37aaf6f2467bc5bfa331		
5188	1422441	read_sample_file	SRX2369540.sample.csv	read_sample_file (SRX2369540.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630003370545	1630003370628	1630003382303	11758	35		35.7	0.0	0.0	0.0	0.0	0.0	54996.0	260.0	124.0	13.0	301195.0	0.0	0.0	0.0	/scratch1/btsheal/work/f6/7672f17ed7b173032b188bbc1651ee		
4943	1416149	read_sample_file	SRX2367983.sample.csv	read_sample_file (SRX2367983.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630002446143	1630002446224	1630002452765	6622	35		38.1	0.0	0.0	0.0	0.0	0.0	54994.0	259.0	124.0	13.0	301195.0	0.0	0.0	0.0	/scratch1/btsheal/work/f6/a4e3da68414abefe234dbf3f5e9da9		
7205	1473781	read_sample_file	SRX4170928.sample.csv	read_sample_file (SRX4170928.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630011184364	1630011194130	1630011200692	16328	35		42.1	0.0	0.0	0.0	0.0	0.0	54995.0	259.0	124.0	13.0	301195.0	0.0	0.0	0.0	/scratch1/btsheal/work/f8/22ac6cbab21b46ca9bd5e7281d247a		
5076	1419667	read_sample_file	SRX1425896.sample.csv	read_sample_file (SRX1425896.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630003025229	1630003025309	1630003031801	6572	36		52.2	0.0	0.0	0.0	0.0	0.0	55005.0	270.0	124.0	13.0	301206.0	0.0	0.0	0.0	/scratch1/btsheal/work/f8/23b70ad1da8c0d59bf901f72f7d342		
1244	1321566	read_sample_file	SRX465436.sample.csv	read_sample_file (SRX465436.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629988349582	1629988349649	1629988356167	6585	69		31.8	0.0	0.0	0.0	0.0	0.0	55013.0	281.0	124.0	13.0	301214.0	0.0	0.0	0.0	/scratch1/btsheal/work/f8/53095b80116b0e33c308adbd621d34		
6076	1444919	read_sample_file	SRX1734414.sample.csv	read_sample_file (SRX1734414.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630006888486	1630006888566	1630006895331	6845	38		33.3	0.0	0.0	0.0	0.0	0.0	55092.0	358.0	124.0	13.0	301294.0	0.0	0.0	0.0	/scratch1/btsheal/work/f8/bf50006b31a72fe6921460c5e660d7		
2737	1360943	read_sample_file	SRX465200.sample.csv	read_sample_file (SRX465200.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629994129585	1629994129633	1629994130674	1089	36		32.0	0.0	0.0	0.0	0.0	0.0	54990.0	258.0	124.0	13.0	301192.0	0.0	0.0	0.0	/scratch1/btsheal/work/f8/d7aae7b4f064ff9a7b9f61c0004899		
7052	1470156	read_sample_file	SRX2248315.sample.csv	read_sample_file (SRX2248315.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630010646923	1630010646991	1630010674334	27411	73		26.7	0.0	0.0	0.0	0.0	0.0	55007.0	271.0	124.0	13.0	301206.0	0.0	0.0	0.0	/scratch1/btsheal/work/f8/fe42289a89756ace9ecb135150dd3e		
9567	1533777	read_sample_file	SRX4170181.sample.csv	read_sample_file (SRX4170181.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630020142676	1630020142752	1630020148880	6204	35		40.0	0.0	0.0	0.0	0.0	0.0	54996.0	259.0	124.0	13.0	301195.0	0.0	0.0	0.0	/scratch1/btsheal/work/f9/5edf258c97f825feffaadf7aefcce8		
7770	1488667	read_sample_file	SRX398687.sample.csv	read_sample_file (SRX398687.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630013319784	1630013319854	1630013337942	18158	5205		1.0	0.0	4014080.0	9777152.0	4014080.0	9793536.0	54991.0	258.0	124.0	13.0	301192.0	0.0	14.0	18.0	/scratch1/btsheal/work/f9/902304b48413364a2c08e504552c47		
3518	1380635	read_sample_file	ERX1659608.sample.csv	read_sample_file (ERX1659608.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629997131290	1629997131368	1629997142390	11100	41		28.6	0.0	0.0	0.0	0.0	0.0	54994.0	259.0	124.0	13.0	301195.0	0.0	0.0	0.0	/scratch1/btsheal/work/f9/adeac13490dc64eb5421c1951663d0		
3791	1387382	read_sample_file	SRX465392.sample.csv	read_sample_file (SRX465392.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629998165511	1629998176041	1629998182665	17154	28		37.0	0.0	0.0	0.0	0.0	0.0	55013.0	281.0	124.0	13.0	301214.0	0.0	0.0	0.0	/scratch1/btsheal/work/f9/b0565e7b4566f9edf410c3f0ba62e1		
2418	1352103	read_sample_file	SRX3152311.sample.csv	read_sample_file (SRX3152311.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629992844118	1629992844198	1629992850745	6627	35		30.0	0.0	0.0	0.0	0.0	0.0	54992.0	259.0	124.0	13.0	301195.0	0.0	0.0	0.0	/scratch1/btsheal/work/fa/88ec5f3e3c816f2293a1abd0903b23		
7413	1478930	read_sample_file	SRX799503.sample.csv	read_sample_file (SRX799503.sample.csv)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630011889038	1630011889093	1630011895673	6635	41		36.4	0.0	0.0	0.0	0.0	0.0	54994.0	259.0	124.0	13.0	301192.0	0.0	0.0	0.0	/scratch1/btsheal/work/fa/8d6911955214b8d890d7f4406903c0		
