task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	n_remote_run_ids	n_spots	sample_id
9230	3402405.pbs02	download_runs	SRX3060378	download_runs (SRX3060378)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630018971999	1630018984461	1630019104644	132645	105550		4.2	0.2	61988864.0	116711424.0	61988864.0	116727808.0	81337620.0	63655158.0	13399.0	359.0	41710623.0	63649483.0	28311.0	209.0	/scratch1/btsheal/work/d3/e9336f179a223d914fcb6f9e2f67dc			1	3907885	SRX3060378
2992	3393370.pbs02	download_runs	SRX384092	download_runs (SRX384092)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629995213176	1629995230319	1629995958856	745680	726112		5.7	0.2	56410112.0	110768128.0	56410112.0	110784512.0	2749755705.0	2709515431.0	373816.0	6064.0	41717617.0	2709493657.0	148318.0	1150.0	/scratch1/btsheal/work/d4/89167d5a99a12aec711852b88bea57			4	77077079	SRX384092
4944	3396414.pbs02	download_runs	SRX2367983	download_runs (SRX2367983)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630002618314	1630002632878	1630002753408	135094	111131		4.4	0.2	59326464.0	114020352.0	59326464.0	114036736.0	188376425.0	170507780.0	27299.0	563.0	41708178.0	170502105.0	27033.0	245.0	/scratch1/btsheal/work/d4/f03f6beccaa0b40f2e8e18a24d403d			1	5054859	SRX2367983
2738	3393139.pbs02	download_runs	SRX465200	download_runs (SRX465200)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629994236342	1629994246552	1629994307169	70827	60253		8.0	0.1	50896896.0	105201664.0	50896896.0	105218048.0	169038080.0	151221352.0	24990.0	526.0	41709995.0	151215678.0	23591.0	353.0	/scratch1/btsheal/work/d5/8d8bb1ec98bb596df720c2e444e890			1	7248891	SRX465200
6781	3398535.pbs02	download_runs	SRX4170095	download_runs (SRX4170095)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630009664936	1630009672211	1630009695075	30139	20695		14.0	0.2	59961344.0	114380800.0	59961344.0	114397184.0	76256994.0	58583927.0	12345.0	349.0	41709758.0	58578251.0	1573.0	225.0	/scratch1/btsheal/work/d6/544feafce40eb58987542580891664			1	1907398	SRX4170095
9247	3402423.pbs02	download_runs	SRX4171173	download_runs (SRX4171173)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630019036054	1630019044562	1630019104680	68626	48189		10.7	0.2	54894592.0	109682688.0	54894592.0	109699072.0	69347160.0	51631779.0	15950.0	336.0	41709762.0	51626103.0	26307.0	205.0	/scratch1/btsheal/work/d6/cb40e8e2d0f8045b7ca379aca2a440			1	1481796	SRX4171173
5575	3397100.pbs02	download_runs	SRX1036697	download_runs (SRX1036697)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630005078276	1630005101802	1630006374546	1296270	1269245		4.8	0.2	58834944.0	113496064.0	58834944.0	113512448.0	4219631219.0	4194636281.0	601623.0	8238.0	41709363.0	4194630595.0	257539.0	496.0	/scratch1/btsheal/work/d6/eac2a5fb0c438e54c56ebb900737ba			1	31778306	SRX1036697
877	3390148.pbs02	download_runs	ERX1534863	download_runs (ERX1534863)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629987129122	1629987148087	1629987197543	68421	49462		12.4	0.2	55525376.0	109682688.0	55525376.0	109699072.0	275850899.0	257842273.0	39109.0	729.0	41732708.0	257836593.0	11895.0	204.0	/scratch1/btsheal/work/d7/273bae8a766aefa1aaa98c09ab9f83			1	8991615	ERX1534863
1572	3391406.pbs02	download_runs	SRX1977905	download_runs (SRX1977905)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1629989845103	1629989852587	1629989927971	82868	73354		9.0	0.1	50860032.0	105209856.0	50860032.0	105226240.0	283931994.0	265911057.0	42676.0	745.0	41708895.0	265905376.0	23379.0	202.0	/scratch1/btsheal/work/d7/2b9eb8d142231d51541df13fb97ac0			1	21932808	SRX1977905
7829	3400036.pbs02	download_runs	SRX3646732	download_runs (SRX3646732)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	1	86400000		2147483648	1	1630013611245	1630013618683	1630014616333	1005088	983112		4.9	0.2	60329984.0	115015680.0	60329984.0	115032064.0	3455781396.0	3432132277.0	481952.0	6784.0	41710178.0	3432126591.0	187572.0	210.0	/scratch1/btsheal/work/d7/dfac218585caa11638a36ae6c65de9			1	25262292	SRX3646732
