task_id	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action	fastq_lines	index_bytes	sample_id
1852	3391728.pbs02	kallisto	SRX2730784	kallisto (SRX2730784)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1629990831252	1629990841222	1629991129139	297887	286883		68.7	3.5	1787412480.0	2216914944.0	1787412480.0	2216947712.0	34286254705.0	11106619133.0	1495741.0	69640.0	22215597262.0	2468518.0	851418.0	47.0	/scratch1/btsheal/work/4a/94cb47b8f2500d405bbda5691c8d6e			181845336	973695034	SRX2730784
4522	3395483.pbs02	kallisto	SRX3464734	kallisto (SRX3464734)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1630001077058	1630001084012	1630001103088	26030	17064		141.9	3.4	1730514944.0	2156679168.0	1794273280.0	2222206976.0	3682190204.0	904838385.0	230997.0	50179.0	1812887161.0	2042806.0	55561.0	59.0	/scratch1/btsheal/work/4b/47ee3880023e77de8ff7ba2f9183c2			20160972	973695034	SRX3464734
9913	3403499.pbs02	kallisto	SRX1640007	kallisto (SRX1640007)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1630022199195	1630022204171	1630022282504	83309	74102		136.8	0.7	1781149696.0	2215858176.0	1781149696.0	2215890944.0	29290158418.0	9441212106.0	1289273.0	66464.0	18884865802.0	2427219.0	698356.0	66.0	/scratch1/btsheal/work/4b/495d5e638e4a9a960a4fe9ccf38f07			134192640	973695034	SRX1640007
3769	3394654.pbs02	kallisto	SRX1796260	kallisto (SRX1796260)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1629998239369	1629998251768	1629998296859	57490	51486		159.7	3.5	1794596864.0	2222174208.0	1794596864.0	2222206976.0	19023314962.0	6018795255.0	864983.0	59933.0	12040303657.0	2291429.0	434149.0	138.0	/scratch1/btsheal/work/4b/6a82c9b313ae4943b11fc8f4ee9df9			97007156	973695034	SRX1796260
5228	3396726.pbs02	kallisto	SRX2248443	kallisto (SRX2248443)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1630003735264	1630003744569	1630004097798	362534	350041		42.0	3.5	1787326464.0	2219028480.0	1787326464.0	2219061248.0	24894344252.0	7975713651.0	1107609.0	63666.0	16928024733.0	2199853.0	615054.0	55.0	/scratch1/btsheal/work/4b/8c3e085732fed7ed3e391cdff25dec			91307140	973695034	SRX2248443
7895	3400107.pbs02	kallisto	SRX4004922	kallisto (SRX4004922)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1630013906413	1630013917239	1630014272319	365906	354662		59.0	3.5	1790496768.0	2215858176.0	1790496768.0	2215890944.0	25990602110.0	8341205803.0	1152917.0	64366.0	16685162194.0	2272722.0	641164.0	46.0	/scratch1/btsheal/work/4b/dec27533dd5fa22a50565784db8abe			109454560	973695034	SRX4004922
2457	3392862.pbs02	kallisto	ERX1719921	kallisto (ERX1719921)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1629993211573	1629993223709	1629993574717	363144	354135		37.8	3.5	1785774080.0	2219028480.0	1785774080.0	2219061248.0	22897301371.0	7309969314.0	1025079.0	62396.0	14622961693.0	2136476.0	563400.0	54.0	/scratch1/btsheal/work/4b/f1c95069119428048a9be4228f8314			84169292	973695034	ERX1719921
1406	3391229.pbs02	kallisto	SRX398815	kallisto (SRX398815)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1629989233220	1629989240830	1629989307098	73878	64420		53.0	3.5	1785176064.0	2219028480.0	1785180160.0	2219061248.0	3584772930.0	872292833.0	226973.0	50118.0	1747942734.0	1969474.0	57685.0	60.0	/scratch1/btsheal/work/4c/4a2b0e6f3afbb2cc8fb6eafc9c3bd2			11936232	973695034	SRX398815
4461	3395419.pbs02	kallisto	SRX3070819	kallisto (SRX3070819)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1630000853180	1630000862322	1630000903492	50312	45315		178.3	3.5	1794641920.0	2222174208.0	1794641920.0	2288263168.0	14112778984.0	4381900919.0	662051.0	56811.0	8766613033.0	2242406.0	291391.0	46.0	/scratch1/btsheal/work/4c/6988df39c969b41a9207ff4bd2575f			96176232	973695034	SRX3070819
3784	3394662.pbs02	kallisto	SRX3236664	kallisto (SRX3236664)	COMPLETED	0		/scratch1/btsheal/singularity-cache/systemsgenetics-gemmaker-2.0.0.img	6	86400000		45097156608	1	1629998280005	1629998286880	1629998523597	243592	236943		126.4	3.5	1780215808.0	2215858176.0	1780215808.0	2215890944.0	95968120648.0	31667259345.0	4044799.0	108856.0	63336840794.0	2486956.0	2245533.0	53.0	/scratch1/btsheal/work/4c/ab79f74daa381a40c74312dec8d5e0			314739616	973695034	SRX3236664
